Date,Value
2020-01-30,100000.0
2020-01-31,99413.47715644035
2020-02-03,100682.89032796379
2020-02-04,101894.72133133556
2020-02-05,100881.29027610939
2020-02-06,101432.13356262367
2020-02-07,101396.80957911903
2020-02-10,102222.634459719
2020-02-11,101802.36830829078
2020-02-12,102023.87662051612
2020-02-13,102094.24514888221
2020-02-14,102303.88484118873
2020-02-18,103163.01226967956
2020-02-19,103771.42744416381
2020-02-20,102949.66140145446
2020-02-21,101586.9264161029
2020-02-24,98815.61201544847
2020-02-25,98935.4585080626
2020-02-26,98794.75004135093
2020-02-27,98463.68760913241
2020-02-28,98438.42830274621
2020-03-02,98437.25748610104
2020-03-03,98411.00187849606
2020-03-04,98421.73830366996
2020-03-05,98413.7420481852
2020-03-06,98395.78161873636
2020-03-09,98395.78161873636
2020-03-10,98395.78161873636
2020-03-11,98395.78161873636
2020-03-12,98395.78161873636
2020-03-13,98395.78161873636
2020-03-16,98395.78161873636
2020-03-17,98395.78161873636
2020-03-18,98395.78161873636
2020-03-19,98395.78161873636
2020-03-20,98395.78161873636
2020-03-23,98395.78161873636
2020-03-24,98395.78161873636
2020-03-25,98375.40484053656
2020-03-26,98404.35090643927
2020-03-27,98196.89437199947
2020-03-30,98491.19781379928
2020-03-31,98455.97703993632
2020-04-01,97151.55356467082
2020-04-02,97434.14097611063
2020-04-03,97268.46853081339
2020-04-06,98424.48478523844
2020-04-07,97491.13463238713
2020-04-08,98512.92895153996
2020-04-09,98808.06921795841
2020-04-13,99498.5766299152
2020-04-14,101639.60255459782
2020-04-15,101373.77942875859
2020-04-16,101992.83937291142
2020-04-17,102496.11061886784
2020-04-20,101768.96570996281
2020-04-21,99435.32708958622
2020-04-22,101889.69549015995
2020-04-23,101830.04106358525
2020-04-24,102973.4286196613
2020-04-27,103166.63039998051
2020-04-28,101770.06849125859
2020-04-29,104609.27294568058
2020-04-30,105871.13236264225
2020-05-01,104368.66177395817
2020-05-04,105625.66007451054
2020-05-05,106270.54790333744
2020-05-06,106741.80387333866
2020-05-07,107323.22977856632
2020-05-08,108070.9401972675
2020-05-11,108514.74241093632
2020-05-12,107539.58443478581
2020-05-13,106428.9941199207
2020-05-14,106861.29659489628
2020-05-15,107577.07332448002
2020-05-18,108326.93418339726
2020-05-19,108443.68013218876
2020-05-20,110371.99214772221
2020-05-21,110282.82989338871
2020-05-22,110682.31395558354
2020-05-26,110188.9830954456
2020-05-27,109934.73590687748
2020-05-28,109426.71111897465
2020-05-29,109804.01074556628
2020-06-01,111034.61109069324
2020-06-02,111279.70157531239
2020-06-03,111100.81973937489
2020-06-04,110168.61482528187
2020-06-05,111097.24827502243
2020-06-08,111897.87029271357
2020-06-09,113026.49129872554
2020-06-10,114367.1011353039
2020-06-11,111001.13739018672
2020-06-12,111643.70857684157
2020-06-15,112993.88065747531
2020-06-16,113904.31986264499
2020-06-17,114045.58417647448
2020-06-18,114293.28858702746
2020-06-19,114378.77747862902
2020-06-22,115247.44441359607
2020-06-23,115967.91770308581
2020-06-24,114145.07891982165
2020-06-25,114849.31452185474
2020-06-26,111674.59869982298
2020-06-29,111771.5016608537
2020-06-30,112831.04641488202
2020-07-01,113197.15616753705
2020-07-02,113481.23315331533
2020-07-06,116091.011080714
2020-07-07,115958.09224602772
2020-07-08,116808.24082848622
2020-07-09,117376.03934762074
2020-07-10,118539.43408486439
2020-07-13,116746.89038750723
2020-07-14,117306.26615044667
2020-07-15,117541.49945733143
2020-07-16,116803.7880277355
2020-07-17,116942.96033141701
2020-07-20,118706.77630660622
2020-07-21,117185.61937308042
2020-07-22,117533.77267813413
2020-07-23,114672.27298712461
2020-07-24,113394.90099439776
2020-07-27,114326.18551740801
2020-07-28,113627.62379564942
2020-07-29,113881.56377972143
2020-07-30,114185.44663476181
2020-07-31,114545.89585351181
2020-08-03,114918.46532672297
2020-08-04,114714.30248122505
2020-08-05,114654.54992156319
2020-08-06,116970.32893996529
2020-08-07,116648.04509978584
2020-08-10,115854.13640837959
2020-08-11,114344.0094361811
2020-08-12,115315.20395088787
2020-08-13,115646.58905990073
2020-08-14,115820.43421170503
2020-08-17,117260.1726119766
2020-08-18,118083.90465748814
2020-08-19,117875.39378178623
2020-08-20,120227.57864964512
2020-08-21,120841.02040303257
2020-08-24,121290.75184834507
2020-08-25,122560.61287892368
2020-08-26,126564.47163594273
2020-08-27,126340.68995488193
2020-08-28,126521.9666577628
2020-08-31,128389.94885457066
2020-09-01,128683.13981068638
2020-09-02,129003.18213475254
2020-09-03,123553.95365727451
2020-09-04,122517.5492383292
2020-09-08,116525.5922954065
2020-09-09,118471.26149441747
2020-09-10,118403.70298865037
2020-09-11,118421.02884097834
2020-09-14,118421.02884097834
2020-09-15,118832.20995481638
2020-09-16,118518.02748258738
2020-09-17,117868.91064393058
2020-09-18,118492.91119324698
2020-09-21,118734.24420105948
2020-09-22,117895.57842957511
2020-09-23,116433.24475037589
2020-09-24,115881.24508606925
2020-09-25,115881.24508606925
2020-09-28,115880.72157210534
2020-09-29,116002.07577056115
2020-09-30,116363.79719084923
2020-10-01,116805.52182530002
2020-10-02,114524.71649341441
2020-10-05,115329.60693867653
2020-10-06,114087.19998103991
2020-10-07,114722.93459207629
2020-10-08,114289.11907372138
2020-10-09,115339.36916404283
2020-10-12,118312.96297126329
2020-10-13,118288.33004050767
2020-10-14,118116.46133475816
2020-10-15,117032.05324225938
2020-10-16,116514.9079900316
2020-10-19,114712.5211339525
2020-10-20,114863.0718242414
2020-10-21,114924.93532511048
2020-10-22,114921.09587033851
2020-10-23,115885.78935891557
2020-10-26,114323.1284740584
2020-10-27,115252.86800761249
2020-10-28,113250.18541712787
2020-10-29,114153.39706207295
2020-10-30,112702.14475171981
2020-11-02,112916.59288442625
2020-11-03,113033.05950201048
2020-11-04,113547.88866079344
2020-11-05,114131.79685625478
2020-11-06,114104.80574140267
2020-11-09,111609.74939832406
2020-11-10,109929.41463956551
2020-11-11,110795.30354479147
2020-11-12,110233.93165453135
2020-11-13,110846.24936770681
2020-11-16,111428.9288600134
2020-11-17,110802.08969699407
2020-11-18,111514.93595005322
2020-11-19,112218.99944088739
2020-11-20,111369.00120178277
2020-11-23,112417.6007188862
2020-11-24,113988.62091966579
2020-11-25,114771.33986075937
2020-11-27,115443.26863425238
2020-11-30,114806.17180842215
2020-12-01,116929.38195327586
2020-12-02,116277.59008950574
2020-12-03,116535.7480428186
2020-12-04,116434.22118832663
2020-12-07,119057.64766388189
2020-12-08,119304.232898813
2020-12-09,116175.58843241286
2020-12-10,116979.5999909823
2020-12-11,116026.05283905478
2020-12-14,116963.18338562461
2020-12-15,117150.45356128627
