Date,Ticker,Signal
2020-02-27,NVDA,1
2020-03-09,NVDA,1
2020-03-11,NVDA,1
2020-03-12,NVDA,1
2020-03-17,NVDA,1
2020-03-24,NVDA,1
2020-03-25,NVDA,1
2020-03-30,NVDA,1
2020-04-01,NVDA,1
2020-06-10,NVDA,-1
2020-06-15,NVDA,-1
2020-06-16,NVDA,-1
2020-06-17,NVDA,-1
2020-06-18,NVDA,-1
2020-06-22,NVDA,-1
2020-06-23,NVDA,-1
2020-07-02,NVDA,-1
2020-07-06,NVDA,-1
2022-03-07,NVDA,1
2022-04-27,NVDA,1
2022-04-29,NVDA,1
2022-05-09,NVDA,1
2022-05-11,NVDA,1
2022-05-12,NVDA,1
2022-05-18,NVDA,1
2022-05-24,NVDA,1
2022-05-25,NVDA,1
2022-06-13,NVDA,1
2022-06-16,NVDA,1
2022-09-13,NVDA,1
2023-01-19,NVDA,1
2023-03-16,NVDA,-1
2023-03-17,NVDA,-1
2023-03-20,NVDA,-1
2023-03-21,NVDA,-1
2023-03-22,NVDA,-1
2023-03-23,NVDA,-1
2023-03-24,NVDA,-1
2023-03-27,NVDA,-1
2023-03-28,NVDA,-1
2023-03-29,NVDA,-1
2023-03-30,NVDA,-1
2023-03-31,NVDA,-1
2023-04-03,NVDA,-1
2024-08-02,NVDA,1
2024-08-05,NVDA,1
2025-04-07,NVDA,1
2025-04-08,NVDA,1
2025-04-16,NVDA,1
2025-06-25,NVDA,-1
2025-06-26,NVDA,-1
2025-06-27,NVDA,-1
2025-06-30,NVDA,-1
2025-07-02,NVDA,-1
